time_s,charge_C,current_A,position_m,velocity_ms,force_N,inductance_H,power_W,energy_capacitor_J,energy_kinetic_J
0.0,180.0,1118.8977009621103,-0.1,35.92664986928608,0.0,0.0023083340460562417,402803.1723463597,32400.0,1029.9500516101327
3.218169997886884e-07,179.99963992720853,1118.8510306336896,-0.0999884379332389,35.92826622082447,0.0,0.002308481679619215,402785.5652925006,32399.870373924725,1030.04272926338
6.436339995773768e-07,179.99927986943598,1118.804362644457,-0.0999768753463256,35.92988246809014,0.0,0.0023086293539683208,402767.9591815711,32399.74075351554,1030.135405106984
9.654509993660651e-07,179.99891982668169,1118.757696292305,-0.0999653122392911,35.93149862692039,0.0,0.0023087770691157276,402750.35376080335,32399.611138772183,1030.228080048312
1.2872679991547536e-06,179.99855979894525,1118.7110308907381,-0.09995374861216137,35.933114712798485,0.0,0.0023089248250736695,402732.74878305243,32399.48152969447,1030.3207549745928
1.609084998943442e-06,179.99819978622648,1118.664365768872,-0.09994218446495744,35.93473074085375,0.0,0.002309072621854447,402715.1440067955,32399.351926282303,1030.4134307529155
1.9309019987321302e-06,179.99783978852537,1118.6177002714328,-0.09993061979769552,35.93634672586161,0.0,0.0023092204594704225,402697.5391961321,32399.222328535645,1030.5061082302293
2.2527189985208187e-06,179.99747980584218,1118.5710337587586,-0.09991905461038714,35.93796268224365,0.0,0.002309368337934024,402679.93412078434,32399.09273645456,1030.5987882333413
2.574535998309507e-06,179.9971198381773,1118.524365606798,-0.09990748890303924,35.93957862406771,0.0,0.0023095162572577357,402662.3285560961,32398.96315003916,1030.691471568918
2.8963529980981956e-06,179.99675988553136,1118.47769520711,-0.0998959226756543,35.94119456504794,0.0,0.002309664217454105,402644.7222830334,32398.833569289633,1030.784159023483
3.218169997886884e-06,179.9963999479052,1118.4310219668648,-0.0998843559282304,35.94281051854485,0.0,0.0023098122185357356,402627.11508818425,32398.703994206244,1030.8768513634168
3.5399869976755725e-06,179.9960400252998,1118.3843453088423,-0.09987278866076145,35.944426497565416,0.0,0.002309960260515289,402609.5067637582,32398.57442478933,1030.969549334956
3.8618039974642605e-06,179.9956801177164,1118.3376646714335,-0.09986122087323716,35.94604251476311,0.0,0.00231010834340548,402591.8971075867,32398.44486103929,1031.0622536641924
4.183620997252949e-06,179.99532022515632,1118.2909795086387,-0.09984965256564328,35.94765858243797,0.0,0.00231025646721908,402574.28592312225,32398.31530295657,1031.154965057073
4.505437997041637e-06,179.99496034762112,1118.2442892900685,-0.09983808373796162,35.94927471253668,0.0,0.00231040463196891,402556.6730194393,32398.1857505417,1031.2476841993978
4.827254996830326e-06,179.9946004851125,1118.1975935009436,-0.0998265143901702,35.950890916652654,0.0,0.0023105528376678457,402539.0582112332,32398.056203795262,1031.340411756821
5.149071996619014e-06,179.99424063763232,1118.1508916420937,-0.0998149445222434,35.95250720602605,0.0,0.002310701084328809,402521.4413188203,32397.926662717888,1031.433148374848
5.470888996407702e-06,179.99388080518267,1118.1041832299582,-0.09980337413415204,35.95412359154388,0.0,0.002310849371964772,402503.8221681384,32397.797127310307,1031.5258946788372
5.792705996196391e-06,179.9935209877657,1118.0574677965858,-0.09979180322586344,35.95574008374007,0.0,0.0023109977005887536,402486.20059074584,32397.667597573247,1031.6186512739964
6.114522995985079e-06,179.9931611853837,1118.0107448896342,-0.09978023179734163,35.95735669279551,0.0,0.002311146070213816,402468.5764238217,32397.538073507523,1031.711418745386
6.436339995773768e-06,179.99280139803923,1117.96401407237,-0.09976865984854742,35.95897342853812,0.0,0.0023112944808530694,402450.94951016566,32397.408555113994,1031.8041976579132
6.758156995562456e-06,179.99244162573484,1117.9172749236684,-0.09975708737943852,35.96059030044296,0.0,0.0023114429325196634,402433.3196981979,32397.279042393566,1031.8969885563354
7.079973995351145e-06,179.9920818684733,1117.8705270380133,-0.0997455143899696,35.96220731763223,0.0,0.002311591425226791,402415.68684195896,32397.14953534719,1031.9897919652585
7.401790995139833e-06,179.99172212625749,1117.8237700254963,-0.09973394088009252,35.963824488875375,0.0,0.0023117399589876824,402398.05080110935,32397.02003397589,1032.0826083891345
7.723607994928521e-06,179.9913623990904,1117.7770035118178,-0.0997223668497563,35.96544182258916,0.0,0.002311888533815609,402380.4114409299,32396.890538280695,1032.1754383122634
8.045424994717209e-06,179.99100268697512,1117.7302271382857,-0.09971079229890738,35.96705932683771,0.0,0.0023120371497238786,402362.768632321,32396.761048262684,1032.2682821987896
8.367241994505899e-06,179.99064298991493,1117.683440561816,-0.09969921722748962,35.96867700933261,0.0,0.0023121858067258337,402345.1222518033,32396.631563923012,1032.3611404927046
8.689058994294587e-06,179.99028330791316,1117.6366434549313,-0.09968764163544444,35.9702948774329,0.0,0.002312334504834851,402327.47218151647,32396.502085262844,1032.4540136178418
9.010875994083275e-06,179.98992364097322,1117.5898355057623,-0.09967606552271101,35.97191293814525,0.0,0.0023124832440643405,402309.81830921996,32396.37261228337,1032.5469019778814
9.332692993871963e-06,179.98956398909863,1117.5430164180464,-0.09966448888922624,35.973531198123936,0.0,0.0023126320244277443,402292.16052829253,32396.24314498583,1032.6398059563442
9.654509993660652e-06,179.9892043522931,1117.4961859111277,-0.09965291173492499,35.97514966367094,0.0,0.0023127808459385323,402274.4987377321,32396.11368337152,1032.7327259165947
9.97632699344934e-06,179.98884473056023,1117.4493437199571,-0.09964133405974013,35.976768340736044,0.0,0.002312929708610205,402256.8328421556,32395.98422744172,1032.8256622018396
